Entry	Entry name	Gene names  (ordered locus )	Gene names	Length	Absorption	Active site	Activity regulation	Binding site	Calcium binding	Catalytic activity	Cofactor	DNA binding	Metal binding	Nucleotide binding	Site	Motif
P33329	PPZ2_YEAST	YDR436W	PPZ2 YDR436W D9461.22	710		ACT_SITE 515 515 Proton donor. {ECO:0000250}.				CATALYTIC ACTIVITY: Reaction=H2O + O-phospho-L-seryl-[protein] = L-seryl-[protein] + phosphate; Xref=Rhea:RHEA:20629, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15377, ChEBI:CHEBI:29999, ChEBI:CHEBI:43474, ChEBI:CHEBI:83421; EC=3.1.3.16; CATALYTIC ACTIVITY: Reaction=H2O + O-phospho-L-threonyl-[protein] = L-threonyl-[protein] + phosphate; Xref=Rhea:RHEA:47004, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15377, ChEBI:CHEBI:30013, ChEBI:CHEBI:43474, ChEBI:CHEBI:61977; EC=3.1.3.16;	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250};  Note=Binds 2 manganese ions per subunit. {ECO:0000250};		METAL 454 454 Manganese 1. {ECO:0000250}.; METAL 456 456 Manganese 1. {ECO:0000250}.; METAL 482 482 Manganese 1. {ECO:0000250}.; METAL 482 482 Manganese 2. {ECO:0000250}.; METAL 514 514 Manganese 2. {ECO:0000250}.; METAL 563 563 Manganese 2. {ECO:0000250}.; METAL 638 638 Manganese 2. {ECO:0000250}.			
P25360	PHO87_YEAST	YCR037C	PHO87 YCR037C YCR37C YCR524	923												
P38069	MNN2_YEAST	YBR015C	MNN2 CRV4 LDB8 TTP1 YBR015C YBR0220	597												
P40010	NUG1_YEAST	YER006W	NUG1 YER006W	520										NP_BIND 213 216 GTP. {ECO:0000255}.; NP_BIND 287 294 GTP. {ECO:0000255}.; NP_BIND 336 339 GTP. {ECO:0000255}.		
P05150	OTC_YEAST	YJL088W	ARG3 YJL088W J0924	338		ACT_SITE 289 289	ACTIVITY REGULATION: Forms a stable complex with CAR1 in the presence of ornithine and arginine. In this complex CAR1 retains activity, but ARG3 activity is inhibited. {ECO:0000269|PubMed:12679340}.	BINDING 118 118 Carbamoyl phosphate. {ECO:0000250}.; BINDING 118 118 Ornithine. {ECO:0000250}.; BINDING 145 145 Carbamoyl phosphate. {ECO:0000250}.; BINDING 185 185 Ornithine. {ECO:0000250}.; BINDING 316 316 Carbamoyl phosphate. {ECO:0000250}.; BINDING 316 316 Ornithine. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=carbamoyl phosphate + L-ornithine = H(+) + L-citrulline + phosphate; Xref=Rhea:RHEA:19513, ChEBI:CHEBI:15378, ChEBI:CHEBI:43474, ChEBI:CHEBI:46911, ChEBI:CHEBI:57743, ChEBI:CHEBI:58228; EC=2.1.3.3;						
P31382	PMT2_YEAST	YAL023C	PMT2 FUN25 YAL023C	759						CATALYTIC ACTIVITY: Reaction=dolichyl beta-D-mannosyl phosphate + L-seryl-[protein] = 3-O-(alpha-D-mannosyl)-L-seryl-[protein] + dolichyl phosphate + H(+); Xref=Rhea:RHEA:17377, Rhea:RHEA-COMP:9517, Rhea:RHEA-COMP:9527, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:13546, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:57683, ChEBI:CHEBI:58211, ChEBI:CHEBI:137321; EC=2.4.1.109; Evidence={ECO:0000269|PubMed:8543034}; CATALYTIC ACTIVITY: Reaction=dolichyl beta-D-mannosyl phosphate + L-threonyl-[protein] = 3-O-(alpha-D-mannosyl)-L-threonyl-[protein] + dolichyl phosphate + H(+); Xref=Rhea:RHEA:53396, Rhea:RHEA-COMP:9517, Rhea:RHEA-COMP:9527, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:13547, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:57683, ChEBI:CHEBI:58211, ChEBI:CHEBI:137323; EC=2.4.1.109; Evidence={ECO:0000269|PubMed:8543034};						
Q12188	REC8_YEAST	YPR007C	REC8 SPO69 YPR007C LPZ7C	680											SITE 431 432 Cleavage; by ESP1.; SITE 453 454 Cleavage; by ESP1.	
P38805	RPF1_YEAST	YHR088W	RPF1 YHR088W	295												
P46969	RPE_YEAST	YJL121C	RPE1 EPI1 POS18 YJL121C J0731	238		ACT_SITE 36 36 Proton acceptor. {ECO:0000250|UniProtKB:P32719}.; ACT_SITE 185 185 Proton donor. {ECO:0000250|UniProtKB:P32719}.		BINDING 9 9 Substrate. {ECO:0000250|UniProtKB:P32719}.; BINDING 80 80 Substrate. {ECO:0000250|UniProtKB:P32719}.		CATALYTIC ACTIVITY: Reaction=D-ribulose 5-phosphate = D-xylulose 5-phosphate; Xref=Rhea:RHEA:13677, ChEBI:CHEBI:57737, ChEBI:CHEBI:58121; EC=5.1.3.1; Evidence={ECO:0000250|UniProtKB:Q96AT9};	COFACTOR: Name=Co(2+); Xref=ChEBI:CHEBI:48828; Evidence={ECO:0000250|UniProtKB:Q96AT9}; Name=Fe(2+); Xref=ChEBI:CHEBI:29033; Evidence={ECO:0000250|UniProtKB:Q96AT9}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:Q96AT9}; Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250|UniProtKB:Q96AT9};  Note=Binds 1 divalent metal cation per subunit. Active with Co(2+), Fe(2+), Mn(2+) and Zn(2+). {ECO:0000250|UniProtKB:Q96AT9};		METAL 34 34 Divalent metal cation; via tele nitrogen. {ECO:0000250|UniProtKB:P32719}.; METAL 36 36 Divalent metal cation. {ECO:0000250|UniProtKB:P32719}.; METAL 80 80 Divalent metal cation; via pros nitrogen. {ECO:0000250|UniProtKB:P32719}.; METAL 185 185 Divalent metal cation. {ECO:0000250|UniProtKB:P32719}.			
P40160	RIO2_YEAST	YNL207W	RIO2 YNL207W N1342	425		ACT_SITE 229 229 Proton acceptor. {ECO:0000250}.		BINDING 123 123 ATP. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence={ECO:0000269|PubMed:12690111}; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence={ECO:0000269|PubMed:12690111};	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:12690111}; 					
P32496	RPN12_YEAST	YFR052W	RPN12 NIN1 YFR052W	274												
P47006	RPA34_YEAST	YJL148W	RPA34 YJL148W J0637	233												
P20434	RPAB1_YEAST	YBR154C	RPB5 RPA7 RPC9 YBR154C YBR1204	215												
P28519	RAD14_YEAST	YMR201C	RAD14 YMR201C YM8325.02C	371												
P0C2H6	RL27A_YEAST	YHR010W	RPL27A RPL27 YHR010W	136												
Q99188	RGS2_YEAST	YOR107W	RGS2 YOR107W YOR3224w	309												
P22803	TRX2_YEAST	YGR209C	TRX2 TRX1 YGR209C G7746	104		ACT_SITE 31 31 Nucleophile.; ACT_SITE 34 34 Nucleophile.									SITE 25 25 Deprotonates C-terminal active site Cys.; SITE 32 32 Contributes to redox potential value.; SITE 33 33 Contributes to redox potential value.	
P29509	TRXB1_YEAST	YDR353W	TRR1 YDR353W D9476.5	319				BINDING 45 45 FAD; via amide nitrogen. {ECO:0000269|PubMed:18930846, ECO:0000269|PubMed:20235561}.; BINDING 54 54 FAD. {ECO:0000269|PubMed:18930846, ECO:0000269|PubMed:20235561}.; BINDING 87 87 FAD; via amide nitrogen and carbonyl oxygen. {ECO:0000269|PubMed:18930846, ECO:0000269|PubMed:20235561}.; BINDING 145 145 FAD. {ECO:0000269|PubMed:18930846, ECO:0000269|PubMed:20235561}.; BINDING 288 288 FAD. {ECO:0000269|PubMed:18930846, ECO:0000269|PubMed:20235561}.		CATALYTIC ACTIVITY: Reaction=[thioredoxin]-dithiol + NADP(+) = [thioredoxin]-disulfide + H(+) + NADPH; Xref=Rhea:RHEA:20345, Rhea:RHEA-COMP:10698, Rhea:RHEA-COMP:10700, ChEBI:CHEBI:15378, ChEBI:CHEBI:29950, ChEBI:CHEBI:50058, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.8.1.9;	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:18930846, ECO:0000269|PubMed:20235561};  Note=Binds 1 FAD per subunit. {ECO:0000269|PubMed:18930846, ECO:0000269|PubMed:20235561};			NP_BIND 11 14 FAD. {ECO:0000269|PubMed:18930846, ECO:0000269|PubMed:20235561}.; NP_BIND 40 41 FAD. {ECO:0000269|PubMed:18930846, ECO:0000269|PubMed:20235561}.; NP_BIND 295 297 FAD. {ECO:0000269|PubMed:18930846, ECO:0000269|PubMed:20235561}.		
P25380	SPS22_YEAST	YCL048W	SPS22 YCL048W YCL48W	463												
P53011	SEH1_YEAST	YGL100W	SEH1 YGL100W	349												
Q12267	SMC4_YEAST	YLR086W	SMC4 YLR086W L9449.5	1418										NP_BIND 185 192 ATP. {ECO:0000255}.		
P15179	SYDM_YEAST	YPL104W	MSD1 YPL104W LPG5W	658				BINDING 198 198 Aspartate. {ECO:0000250}.; BINDING 248 248 Aspartate. {ECO:0000250}.; BINDING 553 553 ATP. {ECO:0000250}.; BINDING 560 560 Aspartate. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=ATP + L-aspartate + tRNA(Asp) = AMP + diphosphate + L-aspartyl-tRNA(Asp); Xref=Rhea:RHEA:19649, Rhea:RHEA-COMP:9660, Rhea:RHEA-COMP:9678, ChEBI:CHEBI:29991, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:78442, ChEBI:CHEBI:78516, ChEBI:CHEBI:456215; EC=6.1.1.12;				NP_BIND 248 250 ATP. {ECO:0000250}.; NP_BIND 604 607 ATP. {ECO:0000250}.		
P40510	SER33_YEAST	YIL074C	SER33 YIL074C	469		ACT_SITE 287 287 {ECO:0000250}.; ACT_SITE 316 316 {ECO:0000250}.; ACT_SITE 347 347 Proton donor. {ECO:0000250}.		BINDING 228 228 NAD. {ECO:0000250|UniProtKB:P0A9T0}.; BINDING 311 311 NAD. {ECO:0000250|UniProtKB:P0A9T0}.		CATALYTIC ACTIVITY: Reaction=(2R)-3-phosphoglycerate + NAD(+) = 3-phosphooxypyruvate + H(+) + NADH; Xref=Rhea:RHEA:12641, ChEBI:CHEBI:15378, ChEBI:CHEBI:18110, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:58272; EC=1.1.1.95; CATALYTIC ACTIVITY: Reaction=(R)-2-hydroxyglutarate + NAD(+) = 2-oxoglutarate + H(+) + NADH; Xref=Rhea:RHEA:49612, ChEBI:CHEBI:15378, ChEBI:CHEBI:15801, ChEBI:CHEBI:16810, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.399; Evidence={ECO:0000269|PubMed:26774271};				NP_BIND 208 209 NAD. {ECO:0000250|UniProtKB:P0A9T0}.; NP_BIND 285 287 NAD. {ECO:0000250|UniProtKB:P0A9T0}.; NP_BIND 347 350 NAD. {ECO:0000250|UniProtKB:P0A9T0}.		
P32867	SSO1_YEAST	YPL232W	SSO1 YPL232W P1405	290												
P20606	SAR1_YEAST	YPL218W	SAR1 YPL218W	190						CATALYTIC ACTIVITY: Reaction=GTP + H2O = GDP + H(+) + phosphate; Xref=Rhea:RHEA:19669, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:37565, ChEBI:CHEBI:43474, ChEBI:CHEBI:58189;				NP_BIND 30 37 GTP.; NP_BIND 73 76 GTP.; NP_BIND 132 135 GTP.		
Q6Q595	SCS22_YEAST	YBL091C-A	SCS22 YBL091C-A	175												
P40075	SCS2_YEAST	YER120W	SCS2 YER120W	244												
P0C0V8	RS21A_YEAST	YKR057W	RPS21A RPS25 RPS25A RPS26A YKR057W	87												
Q07084	SSK1_YEAST	YLR006C	SSK1 YLR006C	712												
Q06339	TFC6_YEAST	YDR362C	TFC6 YDR362C	672								DNA_BIND 6 18 A.T hook.				
P18410	SPO7_YEAST	YAL009W	SPO7 YAL009W	259												
Q12308	TFC8_YEAST	YPL007C	TFC8 YPL007C	588											SITE 358 358 Involved in the interaction with TFC6.	
P30657	PSB7_YEAST	YFR050C	PRE4 YFR050C	266						CATALYTIC ACTIVITY: Reaction=Cleavage of peptide bonds with very broad specificity.; EC=3.4.25.1; Evidence={ECO:0000269|PubMed:8381431};						
Q12362	RIB2_YEAST	YOL066C	RIB2 PUS8 YOL066C	591		ACT_SITE 211 211 {ECO:0000250}.; ACT_SITE 484 484 Proton donor. {ECO:0000250}.				CATALYTIC ACTIVITY: Reaction=uridine(32) in tRNA = pseudouridine(32) in tRNA; Xref=Rhea:RHEA:42544, Rhea:RHEA-COMP:10107, Rhea:RHEA-COMP:10108, ChEBI:CHEBI:65314, ChEBI:CHEBI:65315; EC=5.4.99.28; Evidence={ECO:0000269|PubMed:15466869}; CATALYTIC ACTIVITY: Reaction=2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine + H(+) + H2O = 5-amino-6-(5-phospho-D-ribosylamino)uracil + NH4(+); Xref=Rhea:RHEA:21868, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:28938, ChEBI:CHEBI:58453, ChEBI:CHEBI:58614; EC=3.5.4.26; Evidence={ECO:0000269|PubMed:15466869};	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250};  Note=Binds 1 zinc ion. {ECO:0000250};		METAL 482 482 Zinc; catalytic. {ECO:0000250}.; METAL 515 515 Zinc; catalytic. {ECO:0000250}.; METAL 525 525 Zinc; catalytic. {ECO:0000250}.			
Q3E757	RL11B_YEAST	YGR085C	RPL11B RP39B RPL16B YGR085C	174												
P30775	RF1M_YEAST	YGL143C	MRF1 YGL143C	413												
P22216	RAD53_YEAST	YPL153C	RAD53 MEC2 SAD1 SPK1 YPL153C P2588	821		ACT_SITE 319 319 Proton acceptor.		BINDING 227 227 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.12.1; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.12.1; CATALYTIC ACTIVITY: Reaction=ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-[protein]; Xref=Rhea:RHEA:10596, Rhea:RHEA-COMP:10136, Rhea:RHEA-COMP:10137, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:46858, ChEBI:CHEBI:82620, ChEBI:CHEBI:456216; EC=2.7.12.1;				NP_BIND 204 212 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
P10622	RLA3_YEAST	YDL130W	RPP1B L12EIIB RPL44P RPLA3 YDL130W	106												
P53721	RCF2_YEAST	YNR018W	RCF2 AIM38 YNR018W N3185	224												
Q04599	RM01_YEAST	YDR116C	MRPL1 YDR116C YD9727.11C	285												
P07213	TOM70_YEAST	YNL121C	TOM70 MAS70 OMP1 YNL121C N1905	617												
P00912	TRPF_YEAST	YDR007W	TRP1 YDR007W	224						CATALYTIC ACTIVITY: Reaction=N-(5-phospho-beta-D-ribosyl)anthranilate = 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; Xref=Rhea:RHEA:21540, ChEBI:CHEBI:18277, ChEBI:CHEBI:58613; EC=5.3.1.24;						
Q03799	RT08_YEAST	YMR158W	MRPS8 YMR158W YM8520.07	155												
Q07458	RXT3_YEAST	YDL076C	RXT3 YDL076C	294												
P23561	STE11_YEAST	YLR362W	STE11 YLR362W L8039.10	717		ACT_SITE 579 579 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 444 444 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.25; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.25;				NP_BIND 421 429 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
P36029	TPO5_YEAST	YKL174C	TPO5 YKL174C YKL639	618												
P38262	SIF2_YEAST	YBR103W	SIF2 EMB1 YBR103W YBR0832	535												
P38345	SDHF4_YEAST	YBR269C	SDH8 FMP21 YBR269C YBR1737	138												
Q06677	SWA2_YEAST	YDR320C	SWA2 AUX1 BUD24 YDR320C D9798.10	668												
P07280	RS19A_YEAST	YOL121C	RPS19A RP55A RPS16AA YOL121C	144												
P53236	RSC1_YEAST	YGR056W	RSC1 YGR056W	928												
P0CX39	RS8A_YEAST	YBL072C	RPS8A RPS14A YBL072C YBL06.05 YBL0613	200												
P38781	RSC30_YEAST	YHR056C	RSC30 YHR056C	883								DNA_BIND 14 45 Zn(2)-C6 fungal-type. {ECO:0000255|PROSITE-ProRule:PRU00227}.				
P25443	RS2_YEAST	YGL123W	RPS2 RPS4 SUP38 SUP44 YGL123W G2893	254												
P25632	RSC6_YEAST	YCR052W	RSC6 YCR052W YCR52W	483												
P57744	TIM8_YEAST	YJR135W-A	TIM8 YJR135W-A YJR135BW	87												MOTIF 44 68 Twin CX3C motif.
P53598	SUCA_YEAST	YOR142W	LSC1 YOR142W YOR3352W	329		ACT_SITE 284 284 Tele-phosphohistidine intermediate. {ECO:0000255|HAMAP-Rule:MF_03222}.		BINDING 71 71 Coenzyme A. {ECO:0000255|HAMAP-Rule:MF_03222}.; BINDING 189 189 Substrate; shared with subunit beta. {ECO:0000255|HAMAP-Rule:MF_03222}.		CATALYTIC ACTIVITY: Reaction=ATP + CoA + succinate = ADP + phosphate + succinyl-CoA; Xref=Rhea:RHEA:17661, ChEBI:CHEBI:30031, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57287, ChEBI:CHEBI:57292, ChEBI:CHEBI:456216; EC=6.2.1.5; Evidence={ECO:0000255|HAMAP-Rule:MF_03222, ECO:0000269|PubMed:9874242};						
P50263	SIP18_YEAST	YMR175W	SIP18 YMR175W YM8010.05	79												
P07273	TFS2_YEAST	YGL043W	DST1 PPR2 YGL043W	309												
P53072	TAN1_YEAST	YGL232W	TAN1 YGL232W	289												
P40363	SFGH_YEAST	YJL068C	YJL068C HRE299 J1102	299		ACT_SITE 161 161 Charge relay system. {ECO:0000250}.; ACT_SITE 241 241 Charge relay system. {ECO:0000250}.; ACT_SITE 276 276 Charge relay system. {ECO:0000250}.				CATALYTIC ACTIVITY: Reaction=H2O + S-formylglutathione = formate + glutathione + H(+); Xref=Rhea:RHEA:14961, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15740, ChEBI:CHEBI:57688, ChEBI:CHEBI:57925; EC=3.1.2.12;						
P0CX33	RS30A_YEAST	YLR287C-A	RPS30A YLR287C-A L8003.23 YLR287BC	63												
P25043	PSB2_YEAST	YOR157C	PUP1 YOR157C	261		ACT_SITE 30 30 Nucleophile. {ECO:0000269|PubMed:9087403}.				CATALYTIC ACTIVITY: Reaction=Cleavage of peptide bonds with very broad specificity.; EC=3.4.25.1;						
P40454	PTPA1_YEAST	YIL153W	RRD1 NCS1 YPA1 YIL153W	393						CATALYTIC ACTIVITY: Reaction=[protein]-peptidylproline (omega=180) = [protein]-peptidylproline (omega=0); Xref=Rhea:RHEA:16237, Rhea:RHEA-COMP:10747, Rhea:RHEA-COMP:10748, ChEBI:CHEBI:83833, ChEBI:CHEBI:83834; EC=5.2.1.8;						
P10664	RL4A_YEAST	YBR031W	RPL4A RPL2 RPL2A YBR031W YBR0315	362												
Q9ZZV8	Q0297_YEAST	Q0297	Q0297 ORF12	51												
P40339	RFC4_YEAST	YOL094C	RFC4 YOL094C O0923	323				BINDING 12 12 ATP; via carbonyl oxygen.; BINDING 24 24 ATP; via amide nitrogen.; BINDING 145 145 ATP.; BINDING 203 203 ATP.						NP_BIND 49 57 ATP.		
Q06090	RM51_YEAST	YPR100W	MRPL51 YPR100W P8283.12	140												
P03872	REP2_YEAST	R0040C	REP2 R0040C	296												
P16664	RGP1_YEAST	YDR137W	RGP1 YDR137W YD9302.13	663												
Q03750	TAF8_YEAST	YML114C	TAF8 TAF65 YML114C YM8339.05C	510												
P0CX44	RL1B_YEAST	YGL135W	RPL1B SSM1B SSM2 YGL135W G2834	217												
Q02771	PT117_YEAST	YER058W	PET117 YER058W	107												
P87108	TIM10_YEAST	YHR005C-A	TIM10 MRS11 YHR005C-A YHR005BC	93												MOTIF 40 65 Twin CX3C motif.
P36150	SUMT_YEAST	YKR069W	MET1 MET20 YKR069W	593						CATALYTIC ACTIVITY: Reaction=2 S-adenosyl-L-methionine + uroporphyrinogen III = H(+) + precorrin-2 + 2 S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:32459, ChEBI:CHEBI:15378, ChEBI:CHEBI:57308, ChEBI:CHEBI:57856, ChEBI:CHEBI:58827, ChEBI:CHEBI:59789; EC=2.1.1.107;						
P16658	SEN2_YEAST	YLR105C	SEN2 YLR105C L8004.12	377		ACT_SITE 289 289 {ECO:0000250}.; ACT_SITE 297 297 {ECO:0000250}.; ACT_SITE 328 328 {ECO:0000250}.				CATALYTIC ACTIVITY: Reaction=PretRNA = a 3'-half-tRNA molecule with a 5'-OH end + a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end + an intron with a 2',3'-cyclic phosphate and a 5'-hydroxyl terminus.; EC=4.6.1.16;						
P32914	SPT4_YEAST	YGR063C	SPT4 YGR063C	102												
Q06510	TAZ1_YEAST	YPR140W	TAZ1 YPR140W	381			ACTIVITY REGULATION: Inhibited by zinc and o-phenanthroline. {ECO:0000269|PubMed:9930410}.			CATALYTIC ACTIVITY: Reaction=a 1-acyl-sn-glycero-3-phosphocholine + an acyl-CoA = a 1,2-diacyl-sn-glycero-3-phosphocholine + CoA; Xref=Rhea:RHEA:12937, ChEBI:CHEBI:57287, ChEBI:CHEBI:57643, ChEBI:CHEBI:58168, ChEBI:CHEBI:58342; EC=2.3.1.23;						MOTIF 77 82 HXXXXD motif.
Q06563	SYM1_YEAST	YLR251W	SYM1 YLR251W	197												
P40073	SHO1_YEAST	YER118C	SHO1 SSU81 YER118C	367												
P0CX56	RS18B_YEAST	YML026C	RPS18B YML026C	146												
P38426	TPS3_YEAST	YMR261C	TPS3 YMR261C YM8156.03C	1054												
P23248	RS3A2_YEAST	YML063W	RPS1B PLC2 RPS10B YML063W	255												
P46995	SET2_YEAST	YJL168C	SET2 EZL1 KMT3 YJL168C J0520	733						CATALYTIC ACTIVITY: Reaction=L-lysyl-[histone] + S-adenosyl-L-methionine = H(+) + N(6)-methyl-L-lysyl-[histone] + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:10024, Rhea:RHEA-COMP:9845, Rhea:RHEA-COMP:9846, ChEBI:CHEBI:15378, ChEBI:CHEBI:29969, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:61929; EC=2.1.1.43; Evidence={ECO:0000255|PROSITE-ProRule:PRU00901};						
P25302	SWI4_YEAST	YER111C	SWI4 ART1 YER111C	1093								DNA_BIND 71 92 H-T-H motif. {ECO:0000255|PROSITE-ProRule:PRU00630}.				
Q06132	SGD1_YEAST	YLR336C	SGD1 YLR336C	899												
P32432	SFP1_YEAST	YLR403W	SFP1 YLR403W L8084.4	683												
Q3E785	SDHF1_YEAST	YDR379C-A	SDH6 YDR379C-A smORF139 smORF8	79												
P16387	ODPA_YEAST	YER178W	PDA1 YER178W	420			ACTIVITY REGULATION: E1 activity is regulated by phosphorylation (inactivation) and dephosphorylation (activation) of the alpha subunit.			CATALYTIC ACTIVITY: Reaction=[dihydrolipoyllysine-residue acetyltransferase]-(R)-N(6)-lipoyl-L-lysine + H(+) + pyruvate = [dihydrolipoyllysine-residue acetyltransferase]-(R)-N(6)-(S(8)-acetyldihydrolipoyl)-L-lysine + CO2; Xref=Rhea:RHEA:19189, Rhea:RHEA-COMP:10480, Rhea:RHEA-COMP:10481, ChEBI:CHEBI:15361, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:83099, ChEBI:CHEBI:83111; EC=1.2.4.1;	COFACTOR: Name=thiamine diphosphate; Xref=ChEBI:CHEBI:58937; 					
P40562	MPH1_YEAST	YIR002C	MPH1 YIR002C YIB2C	993						CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + H(+) + phosphate; Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.12; Evidence={ECO:0000269|PubMed:15634678};				NP_BIND 107 114 ATP. {ECO:0000255|PROSITE-ProRule:PRU00541}.		MOTIF 209 212 DEAH box. {ECO:0000255|PROSITE-ProRule:PRU00541}.
P07276	RAD2_YEAST	YGR258C	RAD2 YGR258C	1031							COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250};  Note=Binds 2 magnesium ions per subunit. They probably participate in the reaction catalyzed by the enzyme. May bind an additional third magnesium ion after substrate binding. {ECO:0000250};		METAL 30 30 Magnesium 1. {ECO:0000250}.; METAL 77 77 Magnesium 1. {ECO:0000250}.; METAL 792 792 Magnesium 1. {ECO:0000250}.; METAL 794 794 Magnesium 1. {ECO:0000250}.; METAL 813 813 Magnesium 2. {ECO:0000250}.; METAL 815 815 Magnesium 2. {ECO:0000250}.; METAL 864 864 Magnesium 2. {ECO:0000250}.			
